country_name,rank_1,rank_2,rank_3
United States of America,Amazon,Walmart,Ebay
United Kingdom,Amazon,Ebay,Markandspencer
Canada,Amazon,Canadiantire,Walmart
Australia,Amazon,Kmart,Woolworths
Germany,Amazon,Idealo,Ebay
France,Amazon,Fnac,Cdiscount
India,Amazon,Flipkart,Myntra
Japan,Rakuten,Amazon,Mercari
Brazil,Mercadolibre,Amazon,Magazineluiza
Mexico,Mercadolibre,Amazon,Liverpool
Spain,Amazon,Carrefour,Elcorteingles
South Korea,Naver,Coupang,Danawa
Indonesia,Shopee,Tokopedia,Blibli
Thailand,Shopee,Lazada,Central
Vietnam,Thegioididong,Dienmayxanh,Fptshop
Philippines,Shopee,Lazada,Zalora
Malaysia,Shopee,Lazada,Mudah
Taiwan,Shopee,Momoshop,Pchome
New Zealand,Trademe,Thewarehouse,Kmart
Pakistan,Priceoye,Daraz,Olx
China,Dewu,Xiaomi,Gome
